RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
520,1040,453,1022,1.89076209,0.13922338,DVAX
520,1040,454,1025,1.9036778,0.01291571,DVD
522,1045,456,1029,1.90785255,0.00417475,DX
525,1052,459,1036,1.94223881,0.03438626,DXLG
526,1054,462,1042,1.94654248,0.00430367,EAA
526,1055,462,1044,1.93637716,-0.01016532,EAB
526,1057,462,1045,1.93637716,0.0,EAGLU
528,1062,471,1080,1.94983516,0.013458,ECOL
534,1071,472,1090,1.88545176,-0.0643834,ED
538,1078,477,1097,1.98468014,0.09922838,EDE
543,1090,477,1097,1.9094868,-0.07519334,EDF
549,1101,477,1097,1.90430941,-0.00517739,EDI
554,1115,479,1102,1.839623,-0.06468641,EDR
554,1115,492,1133,1.7094004,-0.1302226,EEFT
555,1117,492,1134,1.78993651,0.08053611,EFC
561,1127,493,1136,1.76981551,-0.020121,EGF
567,1136,496,1143,1.80239203,0.03257652,EGP
571,1141,501,1157,1.68806974,-0.11432229,EIG
576,1148,504,1163,1.69616348,0.00809374,EIV
577,1149,505,1165,1.6890718,-0.00709168,ELA
577,1152,505,1165,1.6878946,-0.0011772,ELB
578,1158,505,1165,1.68588461,-0.00200999,ELJ
578,1158,506,1167,1.6850753,-0.00080931,ELU
580,1160,507,1171,1.70809797,0.02302267,EMAN
582,1163,507,1171,1.70713067,-0.0009673,EMCB
584,1167,507,1172,1.69766064,-0.00947003,EMD
590,1177,507,1174,1.67266496,-0.02499568,EMIF
590,1178,514,1186,1.62980451,-0.04286045,EMO
592,1182,517,1194,1.64261995,0.01281544,EMZ
592,1183,517,1194,1.64222594,-0.00039401,ENJ
593,1184,517,1194,1.64496798,0.00274204,ENTL
597,1190,525,1208,1.79644653,0.15147855,ENZ
598,1193,526,1210,1.78696534,-0.00948119,EPR
599,1204,526,1210,1.78932101,0.00235567,EQCO
599,1209,526,1210,1.66833534,-0.12098567,EQS
605,1217,529,1215,1.7168936,0.04855826,EQY
609,1225,529,1217,1.71017224,-0.00672136,ERC
609,1225,530,1220,1.6302742,-0.07989804,ERN
610,1226,533,1229,1.5815036,-0.0487706,EROS
611,1227,536,1236,1.59391111,0.01240751,ESD
612,1234,537,1239,1.44473988,-0.14917123,ESIO
615,1238,542,1245,1.53461327,0.08987339,ETFC
615,1241,543,1247,1.51943171,-0.01518156,ETX
621,1247,545,1250,1.58886701,0.0694353,EVJ
623,1249,546,1253,1.56436613,-0.02450088,EVP
631,1263,546,1253,1.57710085,0.01273472,EVT
631,1265,552,1260,1.58985821,0.01275736,EVY
632,1267,562,1275,1.88996392,0.30010571,EXAS
634,1269,566,1279,1.91930512,0.0293412,EXD
634,1270,603,1354,1.77791993,-0.14138519,EXR
634,1274,606,1360,1.58243687,-0.19548306,EXTR
636,1276,607,1362,1.57780338,-0.00463349,F
637,1277,608,1365,1.59661941,0.01881603,FAF
638,1280,613,1376,1.57553002,-0.02108939,FBC
641,1285,615,1379,1.65081837,0.07528835,FBR
643,1289,618,1384,1.70790967,0.0570913,FC
644,1296,620,1387,1.71427059,0.00636092,FCT
644,1297,623,1391,1.68154639,-0.0327242,FDML
645,1300,623,1391,1.69804836,0.01650197,FEM
646,1301,625,1394,1.70425006,0.0062017,FFIC
647,1304,627,1397,1.70764586,0.0033958,FGL
647,1304,627,1398,1.70044923,-0.00719663,FIF
649,1308,630,1405,1.77993231,0.07948308,FIG
651,1315,631,1408,1.72356059,-0.05637172,FII
651,1317,631,1408,1.72356059,0.0,FLAG
651,1318,631,1408,1.62971772,-0.09384287,FLOW
654,1323,631,1409,1.60235833,-0.02735939,FLS
667,1343,633,1411,1.72522056,0.12286223,FMC
667,1345,636,1423,1.62076156,-0.104459,FMX
670,1355,636,1424,1.58897117,-0.03179039,FMY
673,1361,640,1439,1.54970891,-0.03926226,FNF
674,1363,641,1443,1.54300725,-0.00670166,FORD
679,1376,641,1444,1.52644407,-0.01656318,FORR
680,1379,645,1449,1.57280297,0.0463589,FRP
680,1379,646,1451,1.56505784,-0.00774513,FRSH
681,1382,646,1451,1.57932408,0.01426624,FSCFL
686,1387,647,1456,1.5890262,0.00970212,FSD
689,1391,649,1460,1.59154259,0.00251639,FSLR
690,1393,650,1462,1.587382,-0.00416059,FTA
692,1395,650,1462,1.61657742,0.02919542,FTRI
692,1395,650,1462,1.61657742,0.0,GAINP
692,1395,652,1466,1.59383319,-0.02274423,GALT
693,1396,656,1474,1.68942849,0.0955953,GBAB
693,1399,658,1480,1.49600955,-0.19341894,GCO
696,1409,661,1486,1.49286643,-0.00314312,GDF
698,1414,667,1496,1.4999797,0.00711327,GDO
698,1415,667,1497,1.49425551,-0.00572419,GEB
698,1417,668,1498,1.49132159,-0.00293392,GEH
700,1420,668,1499,1.49168652,0.00036493,GEK
703,1424,670,1504,1.48349218,-0.00819434,GEO
704,1426,671,1507,1.41199843,-0.07149375,GFA
704,1426,676,1517,1.43175617,0.01975774,GHY
708,1433,677,1521,1.45755249,0.02579632,GIB
708,1437,689,1542,1.52281475,0.06526226,GK
708,1439,695,1550,1.57672637,0.05391162,GLAD
712,1448,699,1555,1.71598656,0.13926019,GLNG
717,1456,702,1558,1.71646228,0.00047572,GLRE
722,1462,706,1566,1.70039201,-0.01607027,GLU
723,1467,706,1566,1.69665539,-0.00373662,GNMA
727,1479,706,1568,1.63225908,-0.06439631,GNT
733,1490,708,1571,1.62854406,-0.00371502,GOF
733,1493,715,1589,1.54432332,-0.08422074,GPI
735,1497,719,1595,1.75239198,0.20806866,GRIF
736,1498,719,1595,1.78173588,0.0293439,GRUB
737,1500,721,1602,1.76498532,-0.01675056,GS
739,1505,721,1602,1.76535802,0.0003727,GSJ
740,1507,725,1607,1.84620342,0.0808454,GTN
742,1509,728,1612,1.85045641,0.00425299,GTY
743,1511,731,1618,1.91132654,0.06087013,GURE
750,1521,732,1622,1.92610666,0.01478012,GXP
750,1521,732,1625,1.892591,-0.03351566,GZT
750,1523,734,1628,1.84810621,-0.04448479,HA
755,1534,736,1632,1.8069569,-0.04114931,HBI
758,1537,739,1640,1.82776622,0.02080932,HCN
769,1555,740,1644,1.84168118,0.01391496,HCP
771,1558,742,1647,1.86313258,0.0214514,HHC
771,1561,743,1649,1.80098845,-0.06214413,HIHO
